TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY
2139.24481834411,2810.3274,2743.1443,108.6767,0
2139.2517625814976,2820.9023,2750.0967,108.58584,0
2139.258706818887,2811.7466,2741.321,108.71509,0
2139.2656510562747,2806.37,2745.8733,108.72238,0
2139.2725952936617,2811.1238,2746.1638,108.76375,0
2139.2795395310504,2817.8665,2741.0151,108.65809,0
2139.2864837684383,2809.3047,2745.3064,108.75259,0
2139.2934280053605,2811.1687,2737.6584,108.69891,0
2139.3003722427493,2812.1404,2751.3428,108.74681,0
2139.3073164796715,2816.232,2750.173,108.699005,0
2139.314260716593,2799.9514,2736.254,108.74816,0
2139.321204953516,2803.5286,2740.4314,108.71247,0
2139.328149190438,2806.7913,2743.3726,108.7211,0
2139.3350934268947,2797.834,2739.0596,108.77029,0
2139.342037663818,2807.2136,2741.3147,108.73376,0
2139.3489819002743,2804.0752,2736.218,108.77155,0
2139.3559261371956,2801.0603,2742.1404,108.743164,0
2139.362870373653,2812.0981,2753.5588,108.69549,0
2139.3698146101106,2812.3865,2743.1982,108.74365,0
2139.376758846566,2808.697,2744.674,108.65545,0
2139.383703082557,2816.4534,2745.8357,108.68195,0
2139.3906473190145,2820.8494,2757.6208,108.76884,0
2139.3975915554715,2790.5073,2734.3127,108.78224,0
2139.404535791463,2807.6433,2748.734,108.76728,0
2139.4114800274538,2817.1926,2748.9844,108.79835,0
2139.4184242634437,2798.8237,2739.8745,108.754845,0
2139.4253684994346,2813.513,2745.3225,108.731674,0
2139.4323127354273,2804.5881,2740.3792,108.751015,0
2139.4392569709516,2798.998,2738.02,108.732506,0
2139.4462012069425,2806.7307,2746.738,108.7828,0
2139.4531454424678,2820.4028,2741.1042,108.74591,0
2139.4600896784586,2810.8608,2745.888,108.71501,0
2139.4670339139857,2807.5813,2737.6445,108.72029,0
2139.4739781495105,2796.698,2733.1882,108.75793,0
2139.4809223850352,2814.9956,2749.3706,108.80057,0
2139.487866620095,2811.374,2744.8257,108.68061,0
2139.494810855621,2822.6465,2753.0593,108.82265,0
2139.5017550906805,2804.2886,2733.9314,108.760445,0
2139.5086993262057,2803.545,2741.8325,108.75315,0
2139.5156435612653,2810.4458,2749.471,108.78329,0
2139.5225877963258,2815.792,2744.869,108.76742,0
2139.5295320313853,2816.5935,2744.6768,108.737114,0
2139.536476266446,2803.5657,2737.9114,108.735535,0
2139.5434205010397,2808.192,2741.265,108.75299,0
2139.5503647360993,2809.2737,2747.9475,108.75174,0
2139.5573089706922,2814.9075,2750.0247,108.76842,0
2139.564253205287,2800.9265,2740.8047,108.80055,0
2139.5711974398814,2812.0247,2738.6099,108.74379,0
2139.578141674475,2815.9822,2750.3257,108.792984,0
2139.5850859090697,2803.3245,2744.6614,108.69252,0
2139.5920301436636,2810.024,2739.325,108.75496,0
2139.598974377792,2812.2874,2746.8606,108.80137,0
2139.6059186123857,2801.9963,2737.3083,108.76869,0
2139.6128628465144,2795.1135,2737.1145,108.68219,0
2139.619807080642,2800.6604,2743.141,108.761734,0
2139.6267513152366,2821.4385,2756.8948,108.71066,0
2139.6336955489,2800.17,2742.9907,108.70148,0
2139.640639783028,2811.775,2745.8115,108.70411,0
2139.647584017156,2810.7993,2742.7212,108.758995,0
2139.6545282508187,2806.5176,2742.913,108.77564,0
2139.661472484948,2802.9146,2744.8909,108.72813,0
2139.6684167186104,2806.4297,2743.4636,108.694664,0
2139.6753609522734,2814.995,2744.6934,108.77632,0
